CardID,RecipeName,EventName,Price,Timestamp
20133293,WOP,TEST_2,0,2019-09-14T23:33:14.779Z
20133293,WOP,TEST_2,0,2019-09-14T23:33:19.638Z
20133293,WOP,TEST_2,0,2019-09-14T23:33:21.662Z
20133293,WOP,TEST_2,1,2019-09-14T23:33:22.990Z
20133293,WOP,TEST_2,1,2019-09-14T23:33:25.738Z
20133293,WOP,TEST_2,1,2019-09-14T23:34:59.122Z
20133293,WOP,TEST_2,0,2019-09-15T00:36:07.356Z
20133293,WOP,TEST_2,0,2019-09-15T00:37:39.676Z
20133293,WOP,TEST_2,1,2019-09-15T00:49:09.511Z
20133293,WOP,TEST_2,0,2019-09-15T01:02:42.298Z
20133293,WOP,TEST_2,0,2019-09-15T01:03:54.434Z
20133293,WOP,TEST_2,0,2019-09-15T01:04:13.764Z
20133293,WOP,TEST_2,0,2019-09-15T01:07:04.327Z
20133293,WOP,TEST_2,0,2019-09-15T01:08:44.721Z
20133293,WOP,TEST_2,0,2019-09-15T01:09:12.070Z
20133293,WOP,TEST_2,0,2019-09-15T01:18:24.703Z
20133293,WOP,TEST_2,0,2019-09-15T01:21:15.301Z
20133293,WOP,TEST_2,0,2019-09-15T01:25:13.520Z
20133293,WOP,TEST_2,1,2019-09-15T01:26:54.251Z
20133293,WOP,TEST_2,0,2019-09-15T01:29:51.917Z
20133293,WOP,TEST_2,0,2019-09-15T01:30:49.561Z
20133293,WOP,TEST_2,0,2019-09-15T01:31:57.829Z
20133293,WOP,TEST_2,0,2019-09-15T01:36:24.958Z
20133293,WOP,TEST_2,0,2019-09-15T01:47:13.666Z
20133293,Beer,TEST_2,1,2019-09-15T03:00:09.502Z
20133293,WOP,TEST_2,0,2019-09-15T03:16:06.693Z
20133293,WOP,TEST_2,1,2019-09-15T03:16:41.405Z
20133293,WOP,TEST_2,1,2019-09-15T03:16:56.586Z
20133293,WOP,TEST_2,0,2019-09-15T03:17:18.141Z
20133293,WOP,TEST_2,0,2019-09-15T03:17:19.970Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:20.794Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:23.265Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:23.735Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:24.025Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:24.176Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:24.336Z
20133293,WOP,TEST_2,1,2019-09-15T03:17:24.445Z
guestID,WOP,TEST_2,0,2019-09-15T04:32:22.428Z
